features,propertyType,zoning,features_id
"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""RSC-6""",94
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7}",Single Family,"""R2""",95
"{""architectureType"": ""Conventional"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,"""R5A-RESIDENTIAL MULTI-FAM""",96
"{""architectureType"": ""Bungalow"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1, ""foundationType"": ""Raised""}",Single Family,"""40RSING""",97
"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,NaN,98
"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa"", ""roofType"": ""Asphalt"", ""roomCount"": 10}",Single Family,"""RES""",99
"{""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""unitCount"": 1, ""architectureType"": ""Condo / Apartment""}",Condo,"""PURD""",100
"{""architectureType"": ""Conventional"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 8, ""unitCount"": 1, ""cooling"": true, ""coolingType"": ""Central""}",Single Family,"""10-RD6""",101
"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Wood"", ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Condo,"""TA_MS""",102
"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Land,NaN,103
"{""architectureType"": ""Condo / Apartment"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""unitCount"": 1}",Condo,"""R-1:SINGLE FAM-RES""",104
"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,NaN,105
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Shingle"", ""roomCount"": 8}",Single Family,"""AC""",106
"{""architectureType"": ""Traditional"", ""exteriorType"": ""Wood"", ""floorCount"": 3, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 10, ""unitCount"": 2}",Multi-Family,"""02 - SINGLE RESIDENCE""",107
"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,"""R1""",108
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,"""MDR""",109
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 8, ""unitCount"": 1, ""garage"": true, ""garageType"": ""Garage""}",Single Family,"""CUP""",110
"{""garage"": true, ""garageType"": ""Attached""}",Single Family,NaN,111
"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 8}",Single Family,NaN,112
"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,NaN,113
"{""architectureType"": ""Ranch"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,"""INC""",114
"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,NaN,115
"{""unitCount"": 1, ""floorCount"": 1, ""roomCount"": 5}",Single Family,NaN,116
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Radiant"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1, ""architectureType"": ""Split Level""}",Single Family,"""R200""",117
"{""exteriorType"": ""Block"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Carport"", ""unitCount"": 1}",Single Family,NaN,118
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""foundationType"": ""Other""}",Single Family,"""PUD""",119
"{""architectureType"": ""Single Story"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""MSF""",120
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,"""AL-2""",121
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,"""ER""",122
"{""architectureType"": ""Split Entry"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Composition"", ""floorCount"": 1, ""foundationType"": ""Block"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,NaN,123
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Gas"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,NaN,124
"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Composition"", ""floorCount"": 2, ""foundationType"": ""Block"", ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 12, ""unitCount"": 2}",Multi-Family,NaN,125
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Vinyl"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Other"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 9}",Single Family,NaN,126
"{""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roofType"": ""Built-up (Layered Asphalt)"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,"""47""",127
NaN,Multi-Family,NaN,128
NaN,Condo,"""4100""",129
"{""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,"""R1-6""",130
"{""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,NaN,131
"{""architectureType"": ""Mobile Home"", ""floorCount"": 1, ""unitCount"": 1, ""viewType"": ""Excellent""}",Manufactured,"""R-6""",132
"{""architectureType"": ""Conventional"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,"""LARS""",133
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""SFR""",134
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""roomCount"": 7}",Single Family,NaN,135
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Slab"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Gravel"", ""unitCount"": 1}",Condo,NaN,136
"{""architectureType"": ""Conventional"", ""exteriorType"": ""Other"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle""}",Single Family,"""R6-RESIDENTIAL MULTI-FAMI""",137
"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Condo,"""LAR4""",138
"{""architectureType"": ""Conventional"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,NaN,139
"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""PD-MU""",140
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""foundationType"": ""Other"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,"""R1""",141
"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,"""RS4""",142
"{""architectureType"": ""Raised Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood Shingle"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,"""RS""",143
"{""architectureType"": ""Two Family"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 10, ""unitCount"": 2}",Multi-Family,NaN,144
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,NaN,145
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""R-1""",146
"{""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,NaN,147
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""PUD""",148
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stone"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 12, ""unitCount"": 1}",Single Family,NaN,149
"{""cooling"": true, ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 3, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1, ""architectureType"": ""Townhouse"", ""coolingType"": ""Commercial""}",Single Family,"""R5""",150
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""fireplaceType"": ""2 Story"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 5, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""RCDEO""",151
"{""architectureType"": ""Single Story"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Built-up (Layered Asphalt)"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,NaN,152
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,"""R1""",153
"{""architectureType"": ""European"", ""unitCount"": 1}",Manufactured,"""AR""",154
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Metal"", ""unitCount"": 1}",Single Family,"""PUD""",155
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Footing"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Wood Shingle"", ""unitCount"": 1}",Single Family,"""R-3C""",156
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,NaN,157
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""fireplaceType"": ""Gas Log"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""PUD""",158
"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Metal"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Other"", ""roomCount"": 3, ""unitCount"": 1}",Condo,NaN,159
NaN,Manufactured,NaN,160
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,"""R1-D""",161
"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Frame Brick"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roomCount"": 7}",Single Family,NaN,162
"{""architectureType"": ""Modular"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Pier / Post & Beam"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 7, ""unitCount"": 1}",Manufactured,"""SF-1""",163
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Roll Tar & Gravel"", ""roomCount"": 3, ""unitCount"": 1}",Condo,"""R-20(RESIDENTIAL 20 DU/AC""",164
"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,NaN,165
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,NaN,166
"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,NaN,167
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,"""R1SL SINGLE FAMILY""",168
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,"""S""",169
"{""architectureType"": ""Mobile Home"", ""exteriorType"": ""Composition"", ""floorCount"": 1, ""foundationType"": ""Concrete"", ""roofType"": ""Roll Composition"", ""unitCount"": 1}",Manufactured,NaN,170
"{""architectureType"": ""Townhouse"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,NaN,171
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,"""Z294""",172
"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",Condo,"""RM-17.3U""",173
"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Condo,"""Z163""",174
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Wood Shingle"", ""unitCount"": 1}",Single Family,"""R-40""",175
"{""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,"""R6""",176
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Block"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""roomCount"": 7}",Single Family,"""PLANNED DEVELOPMENT""",177
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,"""R2""",178
"{""cooling"": true, ""coolingType"": ""Package"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""roofType"": ""Composition Shingle""}",Single Family,NaN,179
